"filename", "language", "TypeScript", "Vue", "Markdown", "MS SQL", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/shifts/mock.ts", "TypeScript", 94, 0, 0, 0, 14, 10, 118
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/shifts/services.ts", "TypeScript", 180, 0, 0, 0, 58, 39, 277
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/shifts/shiftsStore.ts", "TypeScript", 456, 0, 0, 0, 98, 91, 645
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/shifts/supabaseMappers.ts", "TypeScript", 171, 0, 0, 0, 28, 26, 225
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/shifts/types.ts", "TypeScript", 72, 0, 0, 0, 37, 18, 127
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/tables/composables/useTables.ts", "TypeScript", -6, 0, 0, 0, 1, -1, -6
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/tables/services.ts", "TypeScript", 40, 0, 0, 0, 7, 6, 53
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/tables/supabaseMappers.ts", "TypeScript", 47, 0, 0, 0, 18, 8, 73
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/tables/tablesStore.ts", "TypeScript", -178, 0, 0, 0, -3, -1, -182
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/pos/types.ts", "TypeScript", 3, 0, 0, 0, 2, 4, 9
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/productsStore/productsService.ts", "TypeScript", -21, 0, 0, 0, -33, 3, -51
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/recipes/recipesMock.ts", "TypeScript", 36, 0, 0, 0, 1, 1, 38
"/Users/peaker/dev/kitchen-app/backoffice/src/stores/shared/productDefinitions.ts", "TypeScript", 240, 0, 0, 0, 10, 49, 299
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/README.md", "Markdown", 0, 0, 198, 0, 0, 94, 292
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/client.ts", "TypeScript", 37, 0, 0, 0, 23, 12, 72
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/config.ts", "TypeScript", 44, 0, 0, 0, 18, 7, 69
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/index.ts", "TypeScript", 16, 0, 0, 0, 1, 2, 19
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/001_initial_schema.sql", "MS SQL", 0, 0, 0, 195, 67, 63, 325
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/002_add_missing_shift_fields.sql", "MS SQL", 0, 0, 0, 29, 7, 6, 42
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/003_update_orders_payments_schema.sql", "MS SQL", 0, 0, 0, 88, 32, 21, 141
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/migrations/004_create_menu_tables.sql", "MS SQL", 0, 0, 0, 52, 37, 27, 116
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/types.gen.ts", "TypeScript", 15, 0, 0, 0, 4, 3, 22
"/Users/peaker/dev/kitchen-app/backoffice/src/supabase/types.ts", "TypeScript", 683, 0, 0, 0, 12, 18, 713
"/Users/peaker/dev/kitchen-app/backoffice/src/utils/time.ts", "TypeScript", -7, 0, 0, 0, 0, -2, -9
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/AccountDetailView.vue", "Vue", 0, 23, 0, 0, 1, 3, 27
"/Users/peaker/dev/kitchen-app/backoffice/src/views/accounts/components/detail/PendingPaymentsSection.vue", "Vue", 0, 159, 0, 0, 0, 17, 176
