"filename", "language", "TypeScript", "Vue", "MS SQL", "SCSS", "Markdown", "JSON", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/views/counteragents/components/counteragents/CounteragentsTable.vue", "Vue", 0, 26, 0, 0, 0, 0, 0, 5, 31
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/KitchenMainView.vue", "Vue", 0, 37, 0, 0, 0, 0, 1, 8, 46
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/components/KitchenNavigationMenu.vue", "Vue", 0, 39, 0, 0, 0, 0, 0, 4, 43
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/components/KitchenSidebar.vue", "Vue", 0, 14, 0, 0, 0, 0, 1, 2, 17
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/kpi/KpiScreen.vue", "Vue", 0, 216, 0, 0, 0, 0, 4, 38, 258
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/kpi/components/FoodCostKpiCard.vue", "Vue", 0, 277, 0, 0, 0, 0, 13, 50, 340
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/kpi/components/FoodCostKpiTab.vue", "Vue", 0, 323, 0, 0, 0, 0, 11, 43, 377
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/kpi/components/TimeKpiCard.vue", "Vue", 0, 170, 0, 0, 0, 0, 7, 33, 210
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/kpi/components/TimeKpiTab.vue", "Vue", 0, 329, 0, 0, 0, 0, 10, 44, 383
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/orders/components/DishCard.vue", "Vue", 0, 183, 0, 0, 0, 0, 5, 30, 218
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/PreparationScreen.vue", "Vue", 0, 643, 0, 0, 0, 0, 8, 88, 739
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/components/HistoryItemCard.vue", "Vue", 0, 204, 0, 0, 0, 0, 10, 41, 255
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/components/HistoryTab.vue", "Vue", 0, 229, 0, 0, 0, 0, 11, 34, 274
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/components/HistoryTaskCard.vue", "Vue", 0, 136, 0, 0, 0, 0, 5, 23, 164
"/Users/peaker/dev/kitchen-app/backoffice/src/views/kitchen/preparation/components/ProductionScheduleTab.vue", "Vue", 0, 212, 0, 0, 0, 0, 11, 29, 252
