"filename", "language", "TypeScript", "XML", "Vue", "SCSS", "MS SQL", "Markdown", "JSON", "Python", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/core/initialization/index.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 1, 2, 7
"/Users/peaker/dev/kitchen-app/backoffice/src/core/initialization/types.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 35, 11, 88
"/Users/peaker/dev/kitchen-app/backoffice/src/core/request/SupabaseRetryHandler.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 38, 17, 135
"/Users/peaker/dev/kitchen-app/backoffice/src/core/storeResetService.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 26, 11, 118
"/Users/peaker/dev/kitchen-app/backoffice/src/core/sync/SyncService.ts", "TypeScript", 365, 0, 0, 0, 0, 0, 0, 0, 42, 82, 489
"/Users/peaker/dev/kitchen-app/backoffice/src/core/sync/adapters/ShiftSyncAdapter.ts", "TypeScript", 289, 0, 0, 0, 0, 0, 0, 0, 55, 68, 412
"/Users/peaker/dev/kitchen-app/backoffice/src/core/sync/migrations/migrateLegacyShiftQueue.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 18, 18, 97
"/Users/peaker/dev/kitchen-app/backoffice/src/core/sync/storage/ApiSyncStorage.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 8, 18, 115
"/Users/peaker/dev/kitchen-app/backoffice/src/core/sync/storage/LocalStorageSyncStorage.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 10, 14, 97
"/Users/peaker/dev/kitchen-app/backoffice/src/core/sync/storage/index.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 3, 2, 7
"/Users/peaker/dev/kitchen-app/backoffice/src/core/sync/types.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 71, 41, 226
"/Users/peaker/dev/kitchen-app/backoffice/src/core/users.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 33, 15, 123
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/RECIPES.md", "Markdown", 0, 0, 0, 0, 0, 167, 0, 0, 0, 49, 216
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/add_codes_to_migration.py", "Python", 0, 0, 0, 0, 0, 0, 0, 40, 24, 14, 78
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/add_on_conflict.py", "Python", 0, 0, 0, 0, 0, 0, 0, 25, 12, 9, 46
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/add_on_conflict_ingredients.py", "Python", 0, 0, 0, 0, 0, 0, 0, 19, 10, 8, 37
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/fix_code_references.py", "Python", 0, 0, 0, 0, 0, 0, 0, 94, 21, 16, 131
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/mappings/categories.json", "JSON", 0, 0, 0, 0, 0, 0, 16, 0, 0, 1, 17
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/mappings/preparation-categories.json", "JSON", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/mappings/preparation-rules.ts", "TypeScript", 49, 0, 0, 0, 0, 0, 0, 0, 16, 11, 76
"/Users/peaker/dev/kitchen-app/backoffice/src/data-migration/mappings/product-rules.ts", "TypeScript", 132, 0, 0, 0, 0, 0, 0, 0, 26, 22, 180
