"filename", "language", "TypeScript", "Vue", "MS SQL", "Markdown", "comment", "blank", "total"
"/Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/ProductDialog.vue", "Vue", 0, 9, 0, 0, 0, 0, 9
"/Users/peaker/dev/kitchen-app/backoffice/src/views/products/components/package/PackageOptionsList.vue", "Vue", 0, -3, 0, 0, 0, 0, -3
"/Users/peaker/dev/kitchen-app/backoffice/src/views/recipes/RecipesView.vue", "Vue", 0, 338, 0, 0, 7, 35, 380
"/Users/peaker/dev/kitchen-app/backoffice/src/views/recipes/components/CategoryDialog.vue", "Vue", 0, 307, 0, 0, 9, 34, 350
"/Users/peaker/dev/kitchen-app/backoffice/src/views/recipes/components/widgets/ComponentsListWidget.vue", "Vue", 0, 9, 0, 0, 0, 0, 9
"/Users/peaker/dev/kitchen-app/backoffice/src/views/recipes/components/widgets/CostBreakdownWidget.vue", "Vue", 0, 19, 0, 0, 0, 2, 21
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/SupplierView.vue", "Vue", 0, 20, 0, 0, 2, 3, 25
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/BaseSupplierBaskets.vue", "Vue", 0, 24, 0, 0, 0, 2, 26
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/OrderExportOptionsDialog.vue", "Vue", 0, 182, 0, 0, 6, 31, 219
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/OrderPreviewDialog.vue", "Vue", 0, 246, 0, 0, 6, 45, 297
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PrintOrderOptionsDialog.vue", "Vue", 0, -88, 0, 0, -1, -17, -106
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderDetailsDialog.vue", "Vue", 0, 6, 0, 0, 1, 3, 10
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/orders/PurchaseOrderTable.vue", "Vue", 0, 6, 0, 0, 1, 3, 10
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/receipts/BaseReceiptDialog.vue", "Vue", 0, 125, 0, 0, 1, 11, 137
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/receipts/QuickReceiptDialog.vue", "Vue", 0, 944, 0, 0, 19, 134, 1097
"/Users/peaker/dev/kitchen-app/backoffice/src/views/supplier_2/components/receipts/receipt-edit/EditableReceiptItemsWidget.vue", "Vue", 0, 50, 0, 0, 0, 9, 59
"Total", "-", 3855, 5105, 954, 39, 1215, 1600, 12768
